frame,error_metres,boss_scale
5752,0.000000,1.6000
5753,0.000000,1.6000
5754,0.000000,1.6000
5755,0.000000,1.6000
5756,0.000000,1.6000
5757,0.000000,1.6000
5758,0.000000,1.6000
5759,0.000000,1.6000
5760,0.000000,1.6000
5761,0.000000,1.6000
5762,0.000000,1.6000
5763,0.000000,1.6000
5764,0.000000,1.6000
5765,0.000000,1.6000
5766,0.000000,1.6000
5767,0.000000,1.6000
5768,0.000000,1.6000
5769,0.000000,1.6000
5770,0.000000,1.6000
5771,0.000000,1.6000
5772,0.000000,1.6000
5773,0.000000,1.6000
5774,0.000000,1.6000
5775,0.000000,1.6000
5776,0.000000,1.6000
5777,0.000000,1.6000
5778,0.000000,1.6000
5779,0.000000,1.6000
5780,0.000000,1.6000
5781,0.000000,1.6000
5782,0.000000,1.6000
5783,0.000000,1.6000
5784,0.000000,1.6000
5785,0.000000,1.6000
5786,0.000000,1.6000
5787,0.000000,1.6000
5788,0.000000,1.6000
5789,0.000000,1.6000
5790,0.000000,1.6000
5791,0.000000,1.6000
5792,0.000000,1.6000
5793,0.000000,1.6000
5794,0.000000,1.6000
5795,0.000000,1.6000
5796,0.000000,1.6000
5797,0.000000,1.6000
5798,0.000000,1.6000
5799,0.000000,1.6000
5800,0.000000,1.6000
5801,0.000000,1.6000
5802,0.000000,1.6000
5803,0.000000,1.6000
5804,0.000000,1.6000
5805,0.000000,1.6000
5806,0.000000,1.6000
5807,0.000000,1.6000
5808,0.000000,1.6000
5809,0.000000,1.6000
5810,0.000000,1.6000
5811,0.000000,1.6000
5812,0.000000,1.6000
5813,0.000000,1.6000
5814,0.000000,1.6000
5815,0.000000,1.6000
5816,0.000000,1.6000
5817,0.000000,1.6000
5818,0.000000,1.6000
5819,0.000000,1.6000
5820,0.000000,1.6000
5821,0.000000,1.6000
5822,0.000000,1.6000
5823,0.000000,1.6000
5824,0.000000,1.6000
5825,0.000000,1.5999
5826,0.000000,1.5999
5827,0.000000,1.5998
5828,0.000000,1.5997
5829,0.000000,1.5997
5830,0.000000,1.5996
5831,0.000000,1.5995
5832,0.000000,1.5994
5833,0.000000,1.5993
5834,0.000000,1.5992
5835,0.000000,1.5990
5836,0.000000,1.5989
5837,0.000000,1.5988
5838,0.000000,1.5986
5839,0.000000,1.5985
5840,0.000000,1.5983
5841,0.000000,1.5981
5842,0.000000,1.5979
5843,0.000000,1.5977
5844,0.000000,1.5975
5845,0.000000,1.5972
5846,0.000000,1.5970
5847,0.000000,1.5967
5848,0.000000,1.5965
5849,0.000000,1.5962
5850,0.000000,1.5959
5851,0.000000,1.5956
5852,0.000000,1.5952
5853,0.000000,1.5949
5854,0.000000,1.5945
5855,0.000000,1.5942
5856,0.000000,1.5939
5857,0.000000,1.5935
5858,0.000000,1.5932
5859,0.000000,1.5928
5860,0.000000,1.5924
5861,0.000000,1.5920
5862,0.000000,1.5916
5863,0.000000,1.5912
5864,0.000000,1.5908
5865,0.000000,1.5903
5866,0.000000,1.5899
5867,0.000000,1.5895
5868,0.000000,1.5890
5869,0.000000,1.5885
5870,0.000000,1.5881
5871,0.000000,1.5876
5872,0.000000,1.5871
5873,0.000000,1.5867
5874,0.000000,1.5860
5875,0.000000,1.5855
5876,0.000000,1.5850
5877,0.000000,1.5844
5878,0.000000,1.5839
5879,0.000000,1.5833
5880,0.000000,1.5827
5881,0.000000,1.5821
5882,0.000000,1.5812
5883,0.000000,1.5806
5884,0.000000,1.5799
5885,0.000000,1.5793
5886,0.000000,1.5786
5887,0.000000,1.5780
5888,0.000000,1.5772
5889,0.000000,1.5765
5890,0.000000,1.5757
5891,0.000000,1.5750
5892,0.000000,1.5742
5893,0.000000,1.5734
5894,0.000000,1.5725
5895,0.000000,1.5717
5896,0.000000,1.5707
5897,0.000000,1.5699
5898,0.000000,1.5689
5899,0.000000,1.5681
5900,0.000000,1.5670
5901,0.000000,1.5661
5902,0.000000,1.5651
5903,0.000000,1.5642
5904,0.000000,1.5632
5905,0.000000,1.5617
5906,0.000000,1.5607
5907,0.000000,1.5596
5908,0.000000,1.5587
5909,0.000000,1.5577
5910,0.000000,1.5566
5911,0.000000,1.5557
5912,0.000000,1.5546
5913,0.000000,1.5535
5914,0.000000,1.5524
5915,0.000000,1.5515
5916,0.000000,1.5501
5917,0.000000,1.5491
5918,0.000000,1.5483
5919,0.000000,1.5472
5920,0.000000,1.5458
5921,0.000000,1.5448
5922,0.000000,1.5432
5923,0.000000,1.5421
5924,0.000000,1.5412
5925,0.000000,1.5402
5926,0.000000,1.5394
5927,0.000000,1.5382
5928,0.000000,1.5371
5929,0.000000,1.5360
5930,0.000000,1.5348
5931,0.000000,1.5331
5932,0.000000,1.5320
5933,0.000000,1.5308
5934,0.000000,1.5293
5935,0.000000,1.5279
5936,0.000000,1.5267
5937,0.000000,1.5256
5938,0.000000,1.5243
5939,0.000000,1.5231
5940,0.000000,1.5216
5941,0.000000,1.5203
5942,0.000000,1.5190
5943,0.000000,1.5175
5944,0.000000,1.5154
5945,0.000000,1.5111
5946,0.000000,1.5095
5947,0.000000,1.5081
5948,0.000000,1.5067
5949,0.000000,1.5052
5950,0.000000,1.5032
5951,0.000000,1.5018
5952,0.000000,1.5003
5953,0.000000,1.4989
5954,0.000000,1.4977
5955,0.000000,1.4962
5956,0.000000,1.4944
5957,0.000000,1.4930
5958,0.000000,1.4912
5959,0.000000,1.4891
5960,0.000000,1.4871
5961,0.000000,1.4855
5962,0.000000,1.4838
5963,0.000000,1.4820
5964,0.000000,1.4802
5965,0.000000,1.4787
5966,0.000000,1.4768
5967,0.000000,1.4752
5968,0.000000,1.4735
5969,0.000000,1.4713
5970,0.000000,1.4694
5971,0.000000,1.4678
5972,0.000000,1.4662
5973,0.000000,1.4643
5974,0.000000,1.4623
5975,0.000000,1.4603
5976,0.000000,1.4586
5977,0.000000,1.4568
5978,0.000000,1.4552
5979,0.000000,1.4534
5980,0.000000,1.4514
5981,0.000000,1.4498
5982,0.000000,1.4475
5983,0.000000,1.4454
5984,0.000000,1.4432
5985,0.000000,1.4415
5986,0.000000,1.4398
5987,0.000000,1.4380
5988,0.000000,1.4365
5989,0.000000,1.4347
5990,0.000000,1.4333
5991,0.000000,1.4319
5992,0.000000,1.4299
5993,0.000000,1.4284
5994,0.000000,1.4268
5995,0.000000,1.4251
5996,0.000000,1.4234
5997,0.000000,1.4219
5998,0.000000,1.4203
5999,0.000000,1.4189
6000,0.000000,1.4173
6001,0.000000,1.4159
6002,0.000000,1.4142
6003,0.000000,1.4127
6004,0.000000,1.4112
6005,0.000000,1.4095
6006,0.000000,1.4079
6007,0.000000,1.4061
6008,0.000000,1.4045
6009,0.000000,1.4030
6010,0.000000,1.4013
6011,0.000000,1.3995
6012,0.000000,1.3976
6013,0.000000,1.3960
6014,0.000000,1.3943
6015,0.000000,1.3927
6016,0.000000,1.3911
6017,0.000000,1.3897
6018,0.000000,1.3881
6019,0.000000,1.3863
6020,0.000000,1.3844
6021,0.000000,1.3826
6022,0.000000,1.3807
6023,0.000000,1.3789
6024,0.000000,1.3765
6025,0.000000,1.3748
6026,0.000000,1.3720
6027,0.000000,1.3702
6028,0.000000,1.3685
6029,0.000000,1.3669
6030,0.000000,1.3653
6031,0.000000,1.3636
6032,0.000000,1.3620
6033,0.000000,1.3604
6034,0.000000,1.3584
6035,0.000000,1.3561
6036,0.000000,1.3542
6037,0.000000,1.3523
6038,0.000000,1.3503
6039,0.000000,1.3483
6040,0.000000,1.3463
6041,0.000000,1.3440
6042,0.000000,1.3417
6043,0.000000,1.3389
6044,0.000000,1.3367
6045,0.000000,1.3343
6046,0.000000,1.3321
6047,0.000000,1.3300
6048,0.000000,1.3280
6049,0.000000,1.3262
6050,0.000000,1.3240
6051,0.000000,1.3221
6052,0.000000,1.3201
6053,0.000000,1.3183
6054,0.000000,1.3167
6055,0.000000,1.3144
6056,0.000000,1.3124
6057,0.000000,1.3108
6058,0.000000,1.3086
6059,0.000000,1.3065
6060,0.000000,1.3049
6061,0.000000,1.3028
6062,0.000000,1.3009
6063,0.000000,1.2983
6064,0.000000,1.2958
6065,0.000000,1.2937
6066,0.000000,1.2914
6067,0.000000,1.2893
6068,0.000000,1.2871
6069,0.000000,1.2852
6070,0.000000,1.2829
6071,0.000000,1.2810
6072,0.000000,1.2790
6073,0.000000,1.2766
6074,0.000000,1.2740
6075,0.000000,1.2709
6076,0.000000,1.2682
6077,0.000000,1.2659
6078,0.000000,1.2636
6079,0.000000,1.2614
6080,0.000000,1.2591
6081,0.000000,1.2571
6082,0.000000,1.2551
6083,0.000000,1.2530
6084,0.000000,1.2507
6085,0.000000,1.2486
6086,0.000000,1.2463
6087,0.000000,1.2434
6088,0.000000,1.2415
6089,0.000000,1.2389
6090,0.000000,1.2363
6091,0.000000,1.2345
6092,0.000000,1.2326
6093,0.000000,1.2308
6094,0.000000,1.2287
6095,0.000000,1.2267
6096,0.000000,1.2248
6097,0.000000,1.2226
6098,0.000000,1.2206
6099,0.000000,1.2185
6100,0.000000,1.2163
6101,0.000000,1.2142
6102,0.000000,1.2119
6103,0.000000,1.2097
6104,0.000000,1.2076
6105,0.000000,1.2055
6106,0.000000,1.2036
6107,0.000000,1.2015
6108,0.000000,1.1994
6109,0.000000,1.1971
6110,0.000000,1.1945
6111,0.000000,1.1924
6112,0.000000,1.1901
6113,0.000000,1.1876
6114,0.000000,1.1850
6115,0.000000,1.1830
6116,0.000000,1.1806
6117,0.000000,1.1785
6118,0.000000,1.1765
6119,0.000000,1.1741
6120,0.000000,1.1716
6121,0.000000,1.1676
6122,0.000000,1.1647
6123,0.000000,1.1618
6124,0.000000,1.1586
6125,0.000000,1.1549
6126,0.000000,1.1522
6127,0.000000,1.1496
6128,0.000000,1.1460
6129,0.000000,1.1433
6130,0.000000,1.1395
6131,0.000000,1.1361
6132,0.000000,1.1328
6133,0.000000,1.1296
6134,0.000000,1.1263
6135,0.000000,1.1232
6136,0.000000,1.1201
6137,0.000000,1.1172
6138,0.000000,1.1147
6139,0.000000,1.1122
6140,0.000000,1.1095
6141,0.000000,1.1068
6142,0.000000,1.1043
6143,0.000000,1.1016
6144,0.000000,1.0990
6145,0.000000,1.0957
6146,0.000000,1.0931
6147,0.000000,1.0905
6148,0.000000,1.0873
6149,0.000000,1.0852
6150,0.000000,1.0821
6151,0.000000,1.0797
6152,0.000000,1.0771
6153,0.000000,1.0744
6154,0.000000,1.0720
6155,0.000000,1.0693
6156,0.000000,1.0670
6157,0.000000,1.0647
6158,0.000000,1.0621
6159,0.000000,1.0596
6160,0.000000,1.0572
6161,0.000000,1.0543
6162,0.000000,1.0514
6163,0.000000,1.0486
6164,0.000000,1.0059
6165,0.000000,1.0034
6166,0.000000,1.0009
6167,0.000000,0.9985
6168,0.000000,0.9963
6169,0.000000,0.9939
6170,0.000000,0.9913
6171,0.000000,0.9887
6172,0.000000,0.9853
6173,0.000000,0.9822
6174,0.000000,0.9792
6175,0.000000,0.9759
6176,0.000000,0.9730
6177,0.000000,0.9708
6178,0.000000,0.9683
6179,0.000000,0.9660
6180,0.000000,0.9635
6181,0.000000,0.9607
6182,0.000000,0.9579
6183,0.000000,0.9556
6184,0.000000,0.9529
6185,0.000000,0.9499
6186,0.000000,0.9471
6187,0.000000,0.9441
6188,0.000000,0.9417
6189,0.000000,0.9393
6190,0.000000,0.9369
6191,0.000000,0.9343
6192,0.000000,0.9319
6193,0.000000,0.9294
6194,0.000000,0.9269
6195,0.000000,0.9246
6196,0.000000,0.9219
6197,0.000000,0.9195
6198,0.000000,0.9172
6199,0.000000,0.9147
6200,0.000000,0.9124
6201,0.000000,0.9100
6202,0.000000,0.9075
6203,0.000000,0.9047
6204,0.000000,0.9013
6205,0.000000,0.8989
6206,0.000000,0.8966
6207,0.000000,0.8942
6208,0.000000,0.8918
6209,0.000000,0.8893
6210,0.000000,0.8869
6211,0.000000,0.8842
6212,0.000000,0.8816
6213,0.000000,0.8792
6214,0.000000,0.8770
6215,0.000000,0.8744
6216,0.000000,0.8716
6217,0.000000,0.8693
6218,0.000000,0.8667
6219,0.000000,0.8639
6220,0.000000,0.8607
6221,0.000000,0.8578
6222,0.000000,0.8554
6223,0.000000,0.8527
6224,0.000000,0.8502
6225,0.000000,0.8475
6226,0.000000,0.8449
6227,0.000000,0.8421
6228,0.000000,0.8392
6229,0.000000,0.8367
6230,0.000000,0.8338
6231,0.000000,0.8313
6232,0.000000,0.8283
6233,0.000000,0.8257
6234,0.000000,0.8232
6235,0.000000,0.8206
6236,0.000000,0.8179
6237,0.000000,0.8152
6238,0.000000,0.8129
6239,0.000000,0.8105
6240,0.000000,0.8078
6241,0.000000,0.8054
6242,0.000000,0.8028
6243,0.000000,0.8004
6244,0.000000,0.7980
6245,0.000000,0.7952
6246,0.000000,0.7922
6247,0.000000,0.7887
6248,0.000000,0.7852
6249,0.000000,0.7819
6250,0.000000,0.7789
6251,0.000000,0.7758
6252,0.000000,0.7723
6253,0.000000,0.7687
6254,0.000000,0.7653
6255,0.000000,0.7619
6256,0.000000,0.7585
6257,0.000000,0.7549
6258,0.000000,0.7509
6259,0.000000,0.7467
6260,0.000000,0.7431
6261,0.000000,0.7396
6262,0.000000,0.7366
6263,0.000000,0.7336
6264,0.000000,0.7299
6265,0.000000,0.7264
6266,0.000000,0.7235
6267,0.000000,0.7201
6268,0.000000,0.7170
6269,0.000000,0.7134
6270,0.000000,0.7104
6271,0.000000,0.7074
6272,0.000000,0.7034
6273,0.000000,0.6999
6274,0.000000,0.6968
6275,0.000000,0.6935
6276,0.000000,0.6907
6277,0.000000,0.6862
6278,0.000000,0.6836
6279,0.000000,0.6807
6280,0.000000,0.6776
6281,0.000000,0.6748
6282,0.000000,0.6720
6283,0.000000,0.6692
6284,0.000000,0.6657
6285,0.000000,0.6629
6286,0.000000,0.6601
6287,0.000000,0.6573
6288,0.000000,0.6546
6289,0.000000,0.6521
6290,0.000000,0.6489
6291,0.000000,0.6461
6292,0.000000,0.6432
6293,0.000000,0.6400
6294,0.000000,0.6371
6295,0.000000,0.6339
6296,0.000000,0.6307
6297,0.000000,0.6275
6298,0.000000,0.6242
6299,0.000000,0.6210
6300,0.000000,0.6177
6301,0.000000,0.6147
6302,0.000000,0.6111
6303,0.000000,0.6075
6304,0.000000,0.6040
6305,0.000000,0.6009
6306,0.000000,0.5976
6307,0.000000,0.5949
6308,0.000000,0.5920
6309,0.000000,0.5887
6310,0.000000,0.5852
6311,0.000000,0.5815
6312,0.000000,0.5776
6313,0.000000,0.5737
6314,0.000000,0.5698
6315,0.000000,0.5663
6316,0.000000,0.5622
6317,0.000000,0.5588
6318,0.000000,0.5547
6319,0.000000,0.5514
6320,0.000000,0.5478
6321,0.000000,0.5440
6322,0.000000,0.5404
6323,0.000000,0.5363
6324,0.000000,0.5330
6325,0.000000,0.5289
6326,0.000000,0.5246
6327,0.000000,0.5209
6328,0.000000,0.5165
6329,0.000000,0.5125
6330,0.000000,0.5086
6331,0.000000,0.5049
6332,0.000000,0.5009
6333,0.000000,0.4974
6334,0.000000,0.4934
6335,0.000000,0.4895
6336,0.000000,0.4859
6337,0.000000,0.4822
6338,0.000000,0.4786
6339,0.000000,0.4738
6340,0.000000,0.4698
6341,0.000000,0.4659
6342,0.000000,0.4617
6343,0.000000,0.4578
6344,0.000000,0.4537
6345,0.000000,0.4501
6346,0.000000,0.4448
6347,0.000000,0.4413
6348,0.000000,0.4375
6349,0.000000,0.4335
6350,0.000000,0.4292
6351,0.000000,0.4249
6352,0.000000,0.4205
6353,0.000000,0.4163
6354,0.000000,0.4114
6355,0.000000,0.4070
6356,0.000000,0.4016
6357,0.000000,0.3966
6358,0.000000,0.3921
6359,0.000000,0.3868
6360,0.000000,0.3826
6361,0.000000,0.3780
6362,0.000000,0.3741
6363,0.000000,0.3696
6364,0.000000,0.3650
6365,0.000000,0.3594
6366,0.000000,0.3549
6367,0.000000,0.3497
6368,0.000000,0.3450
6369,0.000000,0.3408
6370,0.000000,0.3366
6371,0.000000,0.3324
6372,0.000000,0.3278
6373,0.000000,0.3234
6374,0.000000,0.3192
6375,0.000000,0.3140
6376,0.000000,0.3095
6377,0.000000,0.3048
6378,0.000000,0.2990
6379,0.000000,0.2938
6380,0.000000,0.2892
6381,0.000000,0.2849
6382,0.000000,0.2802
6383,0.000000,0.2758
6384,0.000000,0.2701
6385,0.000000,0.2655
6386,0.000000,0.2609
6387,0.000000,0.2567
6388,0.000000,0.2515
6389,0.000000,0.2466
6390,0.000000,0.2418
6391,0.000000,0.2365
6392,0.000000,0.2318
6393,0.000000,0.2265
6394,0.000000,0.2216
6395,0.000000,0.2156
6396,0.000000,0.2105
6397,0.000000,0.2056
6398,0.000000,0.2003
6399,0.000000,0.1954
6400,0.000000,0.1920
